#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
       0   -5617.129383       0.000005       0.006965   -5617.122419       0.147991     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      10   -5617.957031       0.000556       0.834563   -5617.122468       0.148004     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      20   -5620.090189       0.001978       2.967612   -5617.122578       0.148040     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      30   -5623.357832       0.004157       6.235121   -5617.122711       0.148096     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      40   -5627.548448       0.006950      10.425603   -5617.122846       0.148174     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      50   -5632.445310       0.010215      15.322333   -5617.122977       0.148272     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      60   -5637.834685       0.013808      20.711580   -5617.123106       0.148389     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      70   -5643.508456       0.017590      26.385232   -5617.123224       0.148523     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      80   -5649.273258       0.021433      32.149931   -5617.123327       0.148674     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
      90   -5654.958964       0.025224      37.835551   -5617.123414       0.148840     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     100   -5660.420468       0.028865      43.296983   -5617.123485       0.149018     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     110   -5665.536297       0.032275      48.412754   -5617.123543       0.149209     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     120   -5670.205340       0.035388      53.081747   -5617.123593       0.149409     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     130   -5674.337880       0.038143      57.214237   -5617.123643       0.149617     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     140   -5677.844026       0.040480      60.720331   -5617.123695       0.149832     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     150   -5680.630815       0.042338      63.507072   -5617.123743       0.150052     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     160   -5682.612531       0.043659      65.488756   -5617.123775       0.150275     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     170   -5683.725623       0.044401      66.601836   -5617.123787       0.150499     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     180   -5683.937887       0.044543      66.814109   -5617.123778       0.150724     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     190   -5683.250428       0.044084      66.126679   -5617.123749       0.150948     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     200   -5681.696451       0.043049      64.572750   -5617.123701       0.151170     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     210   -5679.338948       0.041477      62.215310   -5617.123638       0.151387     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     220   -5676.266407       0.039429      59.142843   -5617.123563       0.151600     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     230   -5672.586365       0.036975      55.462884   -5617.123482       0.151806     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     240   -5668.418528       0.034197      51.295131   -5617.123397       0.152006     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     250   -5663.889151       0.031177      46.765839   -5617.123312       0.152197     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     260   -5659.126683       0.028002      42.003453   -5617.123229       0.152379     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     270   -5654.257443       0.024756      37.134291   -5617.123152       0.152552     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     280   -5649.400685       0.021518      32.277603   -5617.123082       0.152713     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     290   -5644.663923       0.018361      27.540901   -5617.123022       0.152863     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     300   -5640.140161       0.015345      23.017189   -5617.122972       0.153001     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     310   -5635.907980       0.012523      18.785050   -5617.122929       0.153126     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     320   -5632.033915       0.009941      14.911023   -5617.122893       0.153238     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     330   -5628.575517       0.007635      11.452657   -5617.122860       0.153335     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     340   -5625.583521       0.005640       8.460689   -5617.122832       0.153418     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     350   -5623.102506       0.003986       5.979698   -5617.122808       0.153487     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     360   -5621.170376       0.002698       4.047588   -5617.122789       0.153540     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     370   -5619.817494       0.001796       2.694719   -5617.122775       0.153578     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     380   -5619.066086       0.001296       1.943320   -5617.122766       0.153600     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     390   -5618.930088       0.001205       1.807325   -5617.122762       0.153607     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     400   -5619.415135       0.001528       2.292371   -5617.122764       0.153598     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     410   -5620.518308       0.002264       3.395536   -5617.122772       0.153573     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     420   -5622.227427       0.003403       5.104641   -5617.122786       0.153532     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     430   -5624.520069       0.004932       7.397262   -5617.122807       0.153476     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     440   -5627.362722       0.006827      10.239886   -5617.122836       0.153404     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     450   -5630.710429       0.009058      13.587558   -5617.122871       0.153317     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     460   -5634.506888       0.011589      17.383974   -5617.122914       0.153216     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     470   -5638.684492       0.014374      21.561527   -5617.122965       0.153100     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     480   -5643.163830       0.017361      26.040807   -5617.123024       0.152971     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     490   -5647.852869       0.020487      30.729779   -5617.123091       0.152829     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     500   -5652.647000       0.023683      35.523836   -5617.123165       0.152674     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     510   -5657.431350       0.026872      40.308107   -5617.123243       0.152508     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     520   -5662.085654       0.029975      44.962333   -5617.123321       0.152332     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     530   -5666.490298       0.032911      49.366902   -5617.123397       0.152145     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     540   -5670.531418       0.035605      53.407951   -5617.123467       0.151950     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     550   -5674.103926       0.037987      56.980395   -5617.123531       0.151748     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     560   -5677.113149       0.039993      59.989560   -5617.123589       0.151539     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     570   -5679.476566       0.041569      62.352929   -5617.123638       0.151325     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     580   -5681.126221       0.042668      64.002545   -5617.123676       0.151107     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     590   -5682.010754       0.043258      64.887049   -5617.123704       0.150887     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     600   -5682.095837       0.043315      64.972115   -5617.123723       0.150666     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     610   -5681.363480       0.042826      64.239749   -5617.123731       0.150446     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     620   -5679.812408       0.041792      62.688682   -5617.123727       0.150228     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     630   -5677.460737       0.040225      60.337029   -5617.123709       0.150013     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     640   -5674.348919       0.038150      57.225243   -5617.123676       0.149804     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     650   -5670.540049       0.035611      53.416418   -5617.123631       0.149601     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     660   -5666.118589       0.032663      48.995019   -5617.123570       0.149407     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     670   -5661.192413       0.029379      44.068922   -5617.123491       0.149222     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     680   -5655.898899       0.025850      38.775509   -5617.123390       0.149049     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     690   -5650.406956       0.022189      33.283682   -5617.123274       0.148889     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     700   -5644.907368       0.018523      27.784214   -5617.123154       0.148742     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     710   -5639.596633       0.014982      22.473596   -5617.123037       0.148611     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     720   -5634.666551       0.011696      17.543627   -5617.122924       0.148496     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     730   -5630.459959       0.008786      13.179347   -5617.280612       0.148399     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     740   -5626.827521       0.006365       9.546996   -5617.280525       0.148320     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     750   -5625.810874       0.004525       6.787277   -5619.023598       0.148259     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     760   -5624.020133       0.003331       4.996571   -5619.023562       0.148218     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     770   -5623.256282       0.002822       4.232725   -5619.023557       0.148197     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     780   -5623.528227       0.003003       4.504647   -5619.023579       0.148196     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     790   -5624.959136       0.003852       5.777854   -5619.181282       0.148215     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     800   -5627.165959       0.005323       7.984620   -5619.181339       0.148254     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     810   -5630.057778       0.007356      11.033943   -5619.023835       0.148313     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     820   -5633.841239       0.009878      14.817328   -5619.023911       0.148390     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     830   -5637.925698       0.012810      19.215235   -5618.710463       0.148486     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     840   -5642.801791       0.016061      24.091238   -5618.710553       0.148599     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     850   -5646.615498       0.019541      29.311110   -5617.304388       0.148729     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     860   -5652.004310       0.023133      34.699808   -5617.304502       0.148875     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     870   -5657.223287       0.026716      40.073383   -5617.149904       0.149034     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     880   -5662.388007       0.030159      45.237994   -5617.150013       0.149206     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     890   -5667.161875       0.033341      50.011768   -5617.150107       0.149389     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     900   -5671.386437       0.036158      54.236256   -5617.150181       0.149581     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     910   -5674.934916       0.038523      57.784685   -5617.150231       0.149782     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     920   -5677.716850       0.040378      60.566593   -5617.150257       0.149988     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     930   -5679.679019       0.041686      62.528757   -5617.150262       0.150199     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     940   -5680.802383       0.042435      63.652135   -5617.150248       0.150413     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     950   -5681.096088       0.042631      63.945866   -5617.150222       0.150628     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     960   -5680.591044       0.042294      63.440858   -5617.150185       0.150843     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     970   -5679.335379       0.041457      62.185240   -5617.150139       0.151056     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     980   -5677.392137       0.040161      60.242052   -5617.150085       0.151266     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
     990   -5674.837779       0.038459      57.687755   -5617.150025       0.151471     -0.000000     -0.000000      0.000000          -nan          -nan          -nan          -nan
