#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
       0  -11234.258297       6.000005   18000.013930    6765.755633       0.147991     -0.000000     -0.000000      0.000000      0.147991    -19.988000     -0.000000      0.000000
      10  -11235.913664       6.000556   18001.669199    6765.755535       0.148004     -0.000000     -0.000000      0.000000      0.148004    -19.868000     -0.000000      0.000000
      20  -11240.180082       6.001978   18005.935397    6765.755315       0.148040     -0.000000     -0.000000      0.000000      0.148040    -19.748000     -0.000000      0.000000
      30  -11246.715390       6.004157   18012.470438    6765.755048       0.148096     -0.000000     -0.000000      0.000000      0.148096    -19.628000     -0.000000      0.000000
      40  -11255.096582       6.006950   18020.851361    6765.754779       0.148174     -0.000000     -0.000000      0.000000      0.148174    -19.508000     -0.000000      0.000000
      50  -11264.890280       6.010215   18030.644796    6765.754516       0.148272     -0.000000     -0.000000      0.000000      0.148272    -19.388000     -0.000000      0.000000
      60  -11275.669028       6.013808   18041.423287    6765.754259       0.148389     -0.000000     -0.000000      0.000000      0.148389    -19.268000     -0.000000      0.000000
      70  -11287.016558       6.017590   18052.770580    6765.754022       0.148523     -0.000000     -0.000000      0.000000      0.148523    -19.148000     -0.000000      0.000000
      80  -11298.546176       6.021433   18064.299993    6765.753816       0.148674     -0.000000     -0.000000      0.000000      0.148674    -19.028000     -0.000000      0.000000
      90  -11309.917695       6.025224   18075.671339    6765.753643       0.148840     -0.000000     -0.000000      0.000000      0.148840    -18.908000     -0.000000      0.000000
     100  -11320.840874       6.028865   18086.594375    6765.753501       0.149018     -0.000000     -0.000000      0.000000      0.149018    -18.788000     -0.000000      0.000000
     110  -11331.072648       6.032275   18096.826033    6765.753385       0.149209     -0.000000     -0.000000      0.000000      0.149209    -18.668000     -0.000000      0.000000
     120  -11340.410730       6.035388   18106.164015    6765.753285       0.149409     -0.000000     -0.000000      0.000000      0.149409    -18.548000     -0.000000      0.000000
     130  -11348.675744       6.038143   18114.428928    6765.753184       0.149617     -0.000000     -0.000000      0.000000      0.149617    -18.428000     -0.000000      0.000000
     140  -11355.687993       6.040480   18121.441073    6765.753080       0.149832     -0.000000     -0.000000      0.000000      0.149832    -18.308000     -0.000000      0.000000
     150  -11361.261564       6.042338   18127.014549    6765.752985       0.150052     -0.000000     -0.000000      0.000000      0.150052    -18.188000     -0.000000      0.000000
