#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0    -691.661721       4.145821    6367.980332    5676.318611       0.017412      0.000000      0.000000
      10    -777.442199       4.201709    6453.824595    5676.382396       0.035142      0.000000      0.000000
      20    -882.304907       4.269945    6558.635662    5676.330755       0.052871      0.000000      0.000000
      30    -934.107315       4.303727    6610.524570    5676.417255       0.037611      0.000000      0.000000
      40    -938.510740       4.306674    6615.051374    5676.540633       0.071836      0.000000      0.000000
      50   -1020.641407       4.360118    6697.141197    5676.499790       0.056576      0.000000      0.000000
      60   -1089.998257       4.405207    6766.397677    5676.399419       0.074305      0.000000      0.000000
      70   -1062.089167       4.387019    6738.460588    5676.371420       0.059045      0.000000      0.000000
      80    -985.335853       4.337108    6661.797642    5676.461790       0.027290      0.000000      0.000000
      90    -946.559595       4.311849    6622.999301    5676.439705       0.045020      0.000000      0.000000
