#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0  -10673.845041       4.031188   24767.620527   14093.775486       0.009489      0.000000      0.000000
      10  -10628.773714       4.024026   24723.613602   14094.839888       0.009489      0.000000      0.000000
      20  -10923.376112       4.071753   25016.850554   14093.474442       0.017736      0.000000      0.000000
      30  -10607.674297       4.020520   24702.077581   14094.403284       0.001242      0.000000      0.000000
      40  -10502.338329       4.003338   24596.505639   14094.167310      -0.007006      0.000000      0.000000
      50  -10780.153402       4.048577   24874.457342   14094.303939      -0.011130      0.000000      0.000000
      60  -10948.764557       4.075911   25042.394623   14093.630066       0.001242      0.000000      0.000000
      70  -10486.386018       4.000827   24581.082852   14094.696835      -0.002882      0.000000      0.000000
      80  -10786.978677       4.049657   24881.093277   14094.114601       0.001242      0.000000      0.000000
      90  -10977.128329       4.080531   25070.782422   14093.654094       0.001242      0.000000      0.000000
