#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0   -7674.533728       4.031163   24767.466701   17092.932973       0.009489      0.000000      0.000000
      10   -7596.029592       4.018314   24688.524196   17092.494604       0.009489      0.000000      0.000000
      20   -7909.861092       4.062386   24959.298546   17049.437454       0.017736      0.000000      0.000000
      30   -7628.813287       4.007227   24620.403430   16991.590143       0.001242      0.000000      0.000000
      40   -7556.471444       3.985647   24487.818235   16931.346791      -0.011130      0.000000      0.000000
      50   -7848.933225       4.025211   24730.894634   16881.961409      -0.011130      0.000000      0.000000
      60   -8034.142723       4.048139   24871.763691   16837.620967      -0.002882      0.000000      0.000000
      70   -7597.550901       3.967182   24374.364029   16776.813128      -0.007006      0.000000      0.000000
      80   -7904.461953       4.007969   24624.963670   16720.501716       0.001242      0.000000      0.000000
      90   -8128.604417       4.037163   24804.327595   16675.723178       0.001242      0.000000      0.000000
