#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0  -10673.845041       4.031188   24767.620527   14093.775486       0.009489      0.000000      0.000000
      10  -10628.773714       4.024026   24723.613602   14094.839888       0.009489      0.000000      0.000000
      20  -10923.362924       4.071751   25016.837293   14093.474369       0.017736      0.000000      0.000000
      30  -10607.679348       4.020518   24702.064843   14094.385495       0.001242      0.000000      0.000000
      40  -10502.306181       4.003329   24596.455216   14094.149035      -0.007006      0.000000      0.000000
      50  -10780.166271       4.048568   24874.404188   14094.237917      -0.011130      0.000000      0.000000
      60  -10948.768036       4.075900   25042.332000   14093.563964       0.001242      0.000000      0.000000
      70  -10486.417472       4.000817   24581.022620   14094.605148      -0.002882      0.000000      0.000000
      80  -10786.988237       4.049644   24881.010953   14094.022716       0.001242      0.000000      0.000000
      90  -10977.153010       4.080517   25070.697579   14093.544569       0.001242      0.000000      0.000000
