Position du centre x = 0.001242; y = 0.000000; z = 0.000000
Position du centre x = 0.009489; y = 0.000000; z = 0.000000
Position du centre x = 0.009489; y = 0.000000; z = 0.000000
Position du centre x = 0.017736; y = 0.000000; z = 0.000000
Position du centre x = 0.001242; y = 0.000000; z = 0.000000
Position du centre x = -0.011130; y = 0.000000; z = 0.000000
Position du centre x = -0.011130; y = 0.000000; z = 0.000000
Position du centre x = -0.002882; y = 0.000000; z = 0.000000
Position du centre x = -0.007006; y = 0.000000; z = 0.000000
Position du centre x = 0.001242; y = 0.000000; z = 0.000000
Position du centre x = 0.001242; y = 0.000000; z = 0.000000
