#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0   -6363.772954       0.000028       0.042008   -6363.730946      -0.000000      0.000000      0.000000
       1   -6363.891416       0.000106       0.159153   -6363.732264      -0.000000      0.000000      0.000000
       2   -6364.065766       0.000222       0.332540   -6363.733226      -0.000000      0.000000      0.000000
       3   -6364.281007       0.000365       0.547554   -6363.733453      -0.000000      0.000000      0.000000
       4   -6364.532916       0.000533       0.799478   -6363.733438      -0.000000      0.000000      0.000000
       5   -6364.821089       0.000725       1.087338   -6363.733751      -0.000000      0.000000      0.000000
       6   -6365.140305       0.000937       1.405788   -6363.734516      -0.000000      0.000000      0.000000
       7   -6365.478883       0.001162       1.743495   -6363.735387      -0.000000      0.000000      0.000000
       8   -6365.822693       0.001391       2.086505   -6363.736188      -0.000000      0.000000      0.000000
       9   -6366.158691       0.001615       2.421829   -6363.736862      -0.000000      0.000000      0.000000
