#  Steps           Epot           Temp           Ekin           Etot        Coord0A       Coord1A       Coord2A       Coord0B       Coord1B       Coord2B
       0  -12727.461278       0.060000     180.000866  -12547.460412      -0.000000     -0.000000      0.000000    -14.998800     -0.000000      0.000000
      10  -12727.562746       0.060034     180.102319  -12547.460427      -0.000000     -0.000000      0.000000    -14.986800     -0.000000      0.000000
      20  -12727.812335       0.060117     180.351881  -12547.460454      -0.000000     -0.000000      0.000000    -14.974800     -0.000000      0.000000
      30  -12728.170586       0.060237     180.710113  -12547.460472      -0.000000     -0.000000      0.000000    -14.962800     -0.000000      0.000000
      40  -12728.609045       0.060383     181.148568  -12547.460477      -0.000000     -0.000000      0.000000    -14.950800     -0.000000      0.000000
      50  -12729.119947       0.060553     181.659469  -12547.460478      -0.000000     -0.000000      0.000000    -14.938800     -0.000000      0.000000
      60  -12729.702159       0.060747     182.241674  -12547.460485      -0.000000     -0.000000      0.000000    -14.926800     -0.000000      0.000000
      70  -12730.344727       0.060961     182.884224  -12547.460503      -0.000000     -0.000000      0.000000    -14.914800     -0.000000      0.000000
      80  -12731.023900       0.061188     183.563381  -12547.460519      -0.000000     -0.000000      0.000000    -14.902800     -0.000000      0.000000
      90  -12731.711132       0.061417     184.250595  -12547.460538      -0.000000     -0.000000      0.000000    -14.890800     -0.000000      0.000000
     100  -12732.380519       0.061640     184.919972  -12547.460547      -0.000000     -0.000000      0.000000    -14.878800     -0.000000      0.000000
     110  -12733.009718       0.061850     185.549160  -12547.460558      -0.000000     -0.000000      0.000000    -14.866800     -0.000000      0.000000
     120  -12733.580187       0.062040     186.119607  -12547.460580      -0.000000     -0.000000      0.000000    -14.854800     -0.000000      0.000000
     130  -12734.074978       0.062205     186.614370  -12547.460607      -0.000000     -0.000000      0.000000    -14.842800     -0.000000      0.000000
     140  -12734.478499       0.062339     187.017877  -12547.460621      -0.000000     -0.000000      0.000000    -14.830800     -0.000000      0.000000
     150  -12734.776857       0.062439     187.316242  -12547.460615      -0.000000     -0.000000      0.000000    -14.818800     -0.000000      0.000000
     160  -12734.963607       0.062501     187.502987  -12547.460620      -0.000000     -0.000000      0.000000    -14.806800     -0.000000      0.000000
     170  -12735.038675       0.062526     187.578067  -12547.460607      -0.000000     -0.000000      0.000000    -14.794800     -0.000000      0.000000
     180  -12734.999946       0.062513     187.539323  -12547.460622      -0.000000     -0.000000      0.000000    -14.782800     -0.000000      0.000000
     190  -12734.847541       0.062462     187.386918  -12547.460623      -0.000000     -0.000000      0.000000    -14.770800     -0.000000      0.000000
     200  -12734.584437       0.062375     187.123818  -12547.460618      -0.000000     -0.000000      0.000000    -14.758800     -0.000000      0.000000
     210  -12734.218725       0.062253     186.758116  -12547.460609      -0.000000     -0.000000      0.000000    -14.746800     -0.000000      0.000000
     220  -12733.764492       0.062101     186.303890  -12547.460602      -0.000000     -0.000000      0.000000    -14.734800     -0.000000      0.000000
     230  -12733.237757       0.061926     185.777161  -12547.460597      -0.000000     -0.000000      0.000000    -14.722800     -0.000000      0.000000
     240  -12732.654789       0.061731     185.194205  -12547.460584      -0.000000     -0.000000      0.000000    -14.710800     -0.000000      0.000000
     250  -12732.031548       0.061524     184.570975  -12547.460574      -0.000000     -0.000000      0.000000    -14.698800     -0.000000      0.000000
     260  -12731.388536       0.061309     183.927980  -12547.460556      -0.000000     -0.000000      0.000000    -14.686800     -0.000000      0.000000
     270  -12730.747116       0.061096     183.286572  -12547.460544      -0.000000     -0.000000      0.000000    -14.674800     -0.000000      0.000000
