#  Steps           Epot           Temp           Ekin           Etot         Coord0        Coord1        Coord2
       0    -455.079959       0.000100       0.015021    -455.064938       0.423561      0.000000      0.000000
      10    -456.787384       0.011479       1.721901    -455.065483       0.423561      0.000000      0.000000
      20    -460.568597       0.036681       5.502221    -455.066376       0.423561      0.000000      0.000000
      30    -465.073844       0.066713      10.006964    -455.066880       0.423561      0.000000      0.000000
      40    -469.368325       0.095341      14.301165    -455.067161       0.423561      0.000000      0.000000
      50    -473.032882       0.119771      17.965654    -455.067228       0.423561      0.000000      0.000000
      60    -475.848777       0.138542      20.781348    -455.067429       0.423561      0.000000      0.000000
      70    -477.607215       0.150265      22.539760    -455.067455       0.423561      0.000000      0.000000
      80    -478.132569       0.153768      23.065202    -455.067367       0.423561      0.000000      0.000000
      90    -477.419303       0.149014      22.352057    -455.067246       0.423561      0.000000      0.000000
     100    -475.631467       0.137096      20.564446    -455.067021       0.423561      0.000000      0.000000
     110    -473.061288       0.119964      17.994671    -455.066617       0.423561      0.000000      0.000000
     120    -470.053371       0.099914      14.987050    -455.066320       0.423561      0.000000      0.000000
     130    -466.944092       0.079186      11.877908    -455.066184       0.423561      0.000000      0.000000
     140    -464.000136       0.059561       8.934106    -455.066030       0.423561      0.000000      0.000000
     150    -461.426168       0.042401       6.360195    -455.065973       0.423561      0.000000      0.000000
     160    -459.359647       0.028624       4.293673    -455.065974       0.423561      0.000000      0.000000
     170    -457.880444       0.018764       2.814529    -455.065915       0.423561      0.000000      0.000000
     180    -457.027314       0.013076       1.961408    -455.065906       0.423561      0.000000      0.000000
     190    -456.813722       0.011652       1.747808    -455.065914       0.423561      0.000000      0.000000
     200    -457.231254       0.014436       2.165328    -455.065926       0.423561      0.000000      0.000000
     210    -458.249791       0.021226       3.183829    -455.065961       0.423561      0.000000      0.000000
     220    -459.815212       0.031661       4.749188    -455.066024       0.423561      0.000000      0.000000
     230    -461.845561       0.045196       6.779446    -455.066115       0.423561      0.000000      0.000000
     240    -464.228514       0.061082       9.162296    -455.066218       0.423561      0.000000      0.000000
     250    -466.820529       0.078361      11.754184    -455.066345       0.423561      0.000000      0.000000
     260    -469.449842       0.095889      14.383400    -455.066442       0.423561      0.000000      0.000000
     270    -471.909955       0.112289      16.843331    -455.066624       0.423561      0.000000      0.000000
     280    -473.970139       0.126022      18.903319    -455.066821       0.423561      0.000000      0.000000
     290    -475.388647       0.135478      20.321709    -455.066939       0.423561      0.000000      0.000000
     300    -475.949389       0.139215      20.882193    -455.067196       0.423561      0.000000      0.000000
     310    -475.503555       0.136241      20.436211    -455.067345       0.423561      0.000000      0.000000
     320    -474.033763       0.126443      18.966404    -455.067359       0.423561      0.000000      0.000000
     330    -471.681484       0.110762      16.614244    -455.067241       0.423561      0.000000      0.000000
