#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
       0  -11234.258297       0.060005     180.013930  -11054.244367       0.147991     -0.000000     -0.000000      0.000000      0.147991    -19.998800     -0.000000      0.000000
      10  -11235.913664       0.060556     181.669199  -11054.244465       0.148004     -0.000000     -0.000000      0.000000      0.148004    -19.986800     -0.000000      0.000000
      20  -11240.180082       0.061978     185.935397  -11054.244685       0.148040     -0.000000     -0.000000      0.000000      0.148040    -19.974800     -0.000000      0.000000
      30  -11246.715390       0.064157     192.470438  -11054.244952       0.148096     -0.000000     -0.000000      0.000000      0.148096    -19.962800     -0.000000      0.000000
      40  -11255.096582       0.066950     200.851361  -11054.245221       0.148174     -0.000000     -0.000000      0.000000      0.148174    -19.950800     -0.000000      0.000000
      50  -11264.890280       0.070215     210.644796  -11054.245484       0.148272     -0.000000     -0.000000      0.000000      0.148272    -19.938800     -0.000000      0.000000
      60  -11275.669028       0.073808     221.423287  -11054.245741       0.148389     -0.000000     -0.000000      0.000000      0.148389    -19.926800     -0.000000      0.000000
      70  -11287.016558       0.077590     232.770580  -11054.245978       0.148523     -0.000000     -0.000000      0.000000      0.148523    -19.914800     -0.000000      0.000000
      80  -11298.546176       0.081433     244.299993  -11054.246184       0.148674     -0.000000     -0.000000      0.000000      0.148674    -19.902800     -0.000000      0.000000
      90  -11309.917695       0.085224     255.671339  -11054.246357       0.148840     -0.000000     -0.000000      0.000000      0.148840    -19.890800     -0.000000      0.000000
     100  -11320.840874       0.088865     266.594375  -11054.246499       0.149018     -0.000000     -0.000000      0.000000      0.149018    -19.878800     -0.000000      0.000000
     110  -11331.072648       0.092275     276.826033  -11054.246615       0.149209     -0.000000     -0.000000      0.000000      0.149209    -19.866800     -0.000000      0.000000
     120  -11340.410730       0.095388     286.164015  -11054.246715       0.149409     -0.000000     -0.000000      0.000000      0.149409    -19.854800     -0.000000      0.000000
     130  -11348.675744       0.098143     294.428928  -11054.246816       0.149617     -0.000000     -0.000000      0.000000      0.149617    -19.842800     -0.000000      0.000000
     140  -11355.687993       0.100480     301.441073  -11054.246920       0.149832     -0.000000     -0.000000      0.000000      0.149832    -19.830800     -0.000000      0.000000
     150  -11361.261564       0.102338     307.014549  -11054.247015       0.150052     -0.000000     -0.000000      0.000000      0.150052    -19.818800     -0.000000      0.000000
     160  -11365.224995       0.103659     310.977915  -11054.247080       0.150275     -0.000000     -0.000000      0.000000      0.150275    -19.806800     -0.000000      0.000000
     170  -11367.451175       0.104401     313.204071  -11054.247104       0.150499     -0.000000     -0.000000      0.000000      0.150499    -19.794800     -0.000000      0.000000
     180  -11367.875708       0.104543     313.628621  -11054.247086       0.150724     -0.000000     -0.000000      0.000000      0.150724    -19.782800     -0.000000      0.000000
     190  -11366.500789       0.104085     312.253761  -11054.247028       0.150948     -0.000000     -0.000000      0.000000      0.150948    -19.770800     -0.000000      0.000000
     200  -11363.392800       0.103049     309.145868  -11054.246932       0.151170     -0.000000     -0.000000      0.000000      0.151170    -19.758800     -0.000000      0.000000
     210  -11358.677717       0.101477     304.430911  -11054.246805       0.151387     -0.000000     -0.000000      0.000000      0.151387    -19.746800     -0.000000      0.000000
     220  -11352.532558       0.099429     298.285902  -11054.246656       0.151600     -0.000000     -0.000000      0.000000      0.151600    -19.734800     -0.000000      0.000000
     230  -11345.172459       0.096975     290.925966  -11054.246493       0.151806     -0.000000     -0.000000      0.000000      0.151806    -19.722800     -0.000000      0.000000
     240  -11336.836834       0.094197     282.590509  -11054.246324       0.152006     -0.000000     -0.000000      0.000000      0.152006    -19.710800     -0.000000      0.000000
     250  -11327.778141       0.091177     273.531986  -11054.246154       0.152197     -0.000000     -0.000000      0.000000      0.152197    -19.698800     -0.000000      0.000000
     260  -11318.253208       0.088002     264.007220  -11054.245988       0.152379     -0.000000     -0.000000      0.000000      0.152379    -19.686800     -0.000000      0.000000
     270  -11308.514643       0.084756     254.268810  -11054.245833       0.152552     -0.000000     -0.000000      0.000000      0.152552    -19.674800     -0.000000      0.000000
     280  -11298.800988       0.081518     244.555294  -11054.245694       0.152713     -0.000000     -0.000000      0.000000      0.152713    -19.662800     -0.000000      0.000000
     290  -11289.327343       0.078361     235.081769  -11054.245574       0.152863     -0.000000     -0.000000      0.000000      0.152863    -19.650800     -0.000000      0.000000
     300  -11280.279782       0.075345     226.034308  -11054.245473       0.153001     -0.000000     -0.000000      0.000000      0.153001    -19.638800     -0.000000      0.000000
     310  -11271.815474       0.072523     217.570085  -11054.245388       0.153126     -0.000000     -0.000000      0.000000      0.153126    -19.626800     -0.000000      0.000000
     320  -11264.067447       0.069941     209.822132  -11054.245315       0.153238     -0.000000     -0.000000      0.000000      0.153238    -19.614800     -0.000000      0.000000
     330  -11257.150734       0.067635     202.905483  -11054.245250       0.153335     -0.000000     -0.000000      0.000000      0.153335    -19.602800     -0.000000      0.000000
     340  -11251.166761       0.065641     196.921567  -11054.245194       0.153418     -0.000000     -0.000000      0.000000      0.153418    -19.590800     -0.000000      0.000000
     350  -11246.204686       0.063987     191.959541  -11054.245145       0.153487     -0.000000     -0.000000      0.000000      0.153487    -19.578800     -0.000000      0.000000
     360  -11242.340361       0.062698     188.095254  -11054.245107       0.153540     -0.000000     -0.000000      0.000000      0.153540    -19.566800     -0.000000      0.000000
     370  -11239.634555       0.061796     185.389476  -11054.245079       0.153578     -0.000000     -0.000000      0.000000      0.153578    -19.554800     -0.000000      0.000000
     380  -11238.131748       0.061296     183.886687  -11054.245061       0.153600     -0.000000     -0.000000      0.000000      0.153600    -19.542800     -0.000000      0.000000
     390  -11237.859800       0.061205     183.614746  -11054.245054       0.153607     -0.000000     -0.000000      0.000000      0.153607    -19.530800     -0.000000      0.000000
     400  -11238.829952       0.061528     184.584894  -11054.245057       0.153598     -0.000000     -0.000000      0.000000      0.153598    -19.518800     -0.000000      0.000000
     410  -11241.036335       0.062264     186.791262  -11054.245073       0.153573     -0.000000     -0.000000      0.000000      0.153573    -19.506800     -0.000000      0.000000
     420  -11244.454588       0.063403     190.209487  -11054.245101       0.153532     -0.000000     -0.000000      0.000000      0.153532    -19.494800     -0.000000      0.000000
     430  -11249.039886       0.064932     194.794742  -11054.245143       0.153476     -0.000000     -0.000000      0.000000      0.153476    -19.482800     -0.000000      0.000000
     440  -11254.725224       0.066827     200.480023  -11054.245200       0.153404     -0.000000     -0.000000      0.000000      0.153404    -19.470800     -0.000000      0.000000
     450  -11261.420695       0.069058     207.175423  -11054.245272       0.153317     -0.000000     -0.000000      0.000000      0.153317    -19.458800     -0.000000      0.000000
     460  -11269.013670       0.071589     214.768312  -11054.245358       0.153216     -0.000000     -0.000000      0.000000      0.153216    -19.446800     -0.000000      0.000000
     470  -11277.368903       0.074374     223.123444  -11054.245459       0.153100     -0.000000     -0.000000      0.000000      0.153100    -19.434800     -0.000000      0.000000
     480  -11286.327562       0.077361     232.081986  -11054.245576       0.152971     -0.000000     -0.000000      0.000000      0.152971    -19.422800     -0.000000      0.000000
     490  -11295.705601       0.080487     241.459890  -11054.245711       0.152829     -0.000000     -0.000000      0.000000      0.152829    -19.410800     -0.000000      0.000000
     500  -11305.293834       0.083683     251.047975  -11054.245859       0.152674     -0.000000     -0.000000      0.000000      0.152674    -19.398800     -0.000000      0.000000
     510  -11314.862535       0.086872     260.616520  -11054.246016       0.152508     -0.000000     -0.000000      0.000000      0.152508    -19.386800     -0.000000      0.000000
     520  -11324.171166       0.089975     269.924994  -11054.246172       0.152332     -0.000000     -0.000000      0.000000      0.152332    -19.374800     -0.000000      0.000000
     530  -11332.980476       0.092911     278.734153  -11054.246323       0.152145     -0.000000     -0.000000      0.000000      0.152145    -19.362800     -0.000000      0.000000
     540  -11341.062713       0.095605     286.816250  -11054.246464       0.151950     -0.000000     -0.000000      0.000000      0.151950    -19.350800     -0.000000      0.000000
     550  -11348.207698       0.097987     293.961106  -11054.246592       0.151748     -0.000000     -0.000000      0.000000      0.151748    -19.338800     -0.000000      0.000000
     560  -11354.226090       0.099993     299.979383  -11054.246707       0.151539     -0.000000     -0.000000      0.000000      0.151539    -19.326800     -0.000000      0.000000
     570  -11358.952859       0.101569     304.706055  -11054.246805       0.151325     -0.000000     -0.000000      0.000000      0.151325    -19.314800     -0.000000      0.000000
     580  -11362.252103       0.102668     308.005222  -11054.246882       0.151107     -0.000000     -0.000000      0.000000      0.151107    -19.302800     -0.000000      0.000000
     590  -11364.021135       0.103258     309.774197  -11054.246938       0.150887     -0.000000     -0.000000      0.000000      0.150887    -19.290800     -0.000000      0.000000
     600  -11364.191329       0.103315     309.944354  -11054.246975       0.150666     -0.000000     -0.000000      0.000000      0.150666    -19.278800     -0.000000      0.000000
     610  -11362.726702       0.102827     308.479711  -11054.246991       0.150446     -0.000000     -0.000000      0.000000      0.150446    -19.266800     -0.000000      0.000000
     620  -11359.624650       0.101793     305.377667  -11054.246983       0.150228     -0.000000     -0.000000      0.000000      0.150228    -19.254800     -0.000000      0.000000
     630  -11354.921310       0.100225     300.674363  -11054.246947       0.150013     -0.000000     -0.000000      0.000000      0.150013    -19.242800     -0.000000      0.000000
     640  -11348.697561       0.098150     294.450679  -11054.246882       0.149804     -0.000000     -0.000000      0.000000      0.149804    -19.230800     -0.000000      0.000000
     650  -11341.079676       0.095611     286.832885  -11054.246791       0.149601     -0.000000     -0.000000      0.000000      0.149601    -19.218800     -0.000000      0.000000
     660  -11332.236708       0.092663     277.990038  -11054.246670       0.149407     -0.000000     -0.000000      0.000000      0.149407    -19.206800     -0.000000      0.000000
     670  -11322.384442       0.089379     268.137931  -11054.246511       0.149222     -0.000000     -0.000000      0.000000      0.149222    -19.194800     -0.000000      0.000000
     680  -11311.797543       0.085850     257.551234  -11054.246309       0.149049     -0.000000     -0.000000      0.000000      0.149049    -19.182800     -0.000000      0.000000
     690  -11300.813706       0.082189     246.567628  -11054.246078       0.148889     -0.000000     -0.000000      0.000000      0.148889    -19.170800     -0.000000      0.000000
     700  -11289.814469       0.078523     235.568631  -11054.245838       0.148742     -0.000000     -0.000000      0.000000      0.148742    -19.158800     -0.000000      0.000000
     710  -11279.192900       0.074982     224.947296  -11054.245604       0.148611     -0.000000     -0.000000      0.000000      0.148611    -19.146800     -0.000000      0.000000
     720  -11269.332699       0.071696     215.087321  -11054.245378       0.148496     -0.000000     -0.000000      0.000000      0.148496    -19.134800     -0.000000      0.000000
     730  -11260.919594       0.068786     206.358846  -11054.560748       0.148399     -0.000000     -0.000000      0.000000      0.148399    -19.122800     -0.000000      0.000000
     740  -11253.654920       0.066365     199.094347  -11054.560573       0.148320     -0.000000     -0.000000      0.000000      0.148320    -19.110800     -0.000000      0.000000
     750  -11251.621828       0.064525     193.575089  -11058.046740       0.148259     -0.000000     -0.000000      0.000000      0.148259    -19.098800     -0.000000      0.000000
     760  -11248.040350       0.063331     189.993683  -11058.046668       0.148218     -0.000000     -0.000000      0.000000      0.148218    -19.086800     -0.000000      0.000000
     770  -11246.512492       0.062822     188.465834  -11058.046658       0.148197     -0.000000     -0.000000      0.000000      0.148197    -19.074800     -0.000000      0.000000
