dt = 0.000010000000; N = 10; L(σ) = 8.000000 
Temps; Energie(ε); E_cin(ε); E_pot(ε); Temperature(ε/kb); Pression (ε/σ²)
0.000000; 99.777594; 0.000000; 99.777594; 0.000000; 10.892852
0.001000; 99.777592; 2.267471; 97.510121; 0.226747; 10.699139
0.002000; 99.777584; 8.631123; 91.146462; 0.863112; 10.163464
0.003000; 99.777576; 17.954091; 81.823485; 1.795409; 9.379039
0.004000; 99.777568; 28.820300; 70.957268; 2.882030; 8.461852
0.005000; 99.777563; 39.947056; 59.830508; 3.994706; 7.517303
0.006000; 99.777561; 50.419303; 49.358259; 5.041930; 6.621224
0.007000; 99.777561; 59.727688; 40.049874; 5.972769; 5.816647
0.008000; 99.777562; 67.687530; 32.090032; 6.768753; 5.120182
0.009000; 99.777564; 74.323252; 25.454312; 7.432325; 4.531231
0.010000; 99.777566; 79.768319; 20.009247; 7.976832; 4.040037
0.011000; 99.777568; 84.196802; 15.580765; 8.419680; 3.633231
0.012000; 99.777569; 87.784011; 11.993558; 8.778401; 3.297069
0.013000; 99.777570; 90.687621; 9.089950; 9.068762; 3.019022
0.014000; 99.777571; 93.041100; 6.736472; 9.304110; 2.788366
0.015000; 99.777572; 94.953574; 4.823998; 9.495357; 2.596243
0.016000; 99.777573; 96.512525; 3.265048; 9.651253; 2.435482
0.017000; 99.777573; 97.787376; 1.990197; 9.778738; 2.300331
0.018000; 99.777574; 98.833004; 0.944570; 9.883300; 2.186195
0.019000; 99.777574; 99.692800; 0.084774; 9.969280; 2.089402
0.020000; 99.777574; 100.401183; -0.623609; 10.040118; 2.007004
0.021000; 99.777574; 100.985587; -1.208013; 10.098559; 1.936623
0.022000; 99.777575; 101.468007; -1.690433; 10.146801; 1.876330
0.023000; 99.777575; 101.866187; -2.088613; 10.186619; 1.824547
0.024000; 99.777575; 102.194535; -2.416960; 10.219453; 1.779979
0.025000; 99.777575; 102.464817; -2.687242; 10.246482; 1.741550
0.026000; 99.777575; 102.686702; -2.909127; 10.268670; 1.708368
