Script;Temps 1 (s);Temps 2 (s);Temps 3 (s);Temps 4 (s);Temps 5 (s)
addition1.out;0.59;0.44;0.48;0.59;0.47
addition2.out;1.21;1.07;0.98;0.91;1.07
addition3.out;1.38;1.41;1.47;1.47;1.70
addition4.out;2.14;1.88;1.62;2.16;1.98
addition5.out;2.38;2.28;2.28;2.10;2.48
addition6.out;2.91;3.08;2.56;2.82;2.57
addition7.out;3.52;3.02;3.55;4.09;3.45
addition8.out;3.93;3.95;3.76;3.79;3.77
addition9.out;3.93;3.93;3.90;4.47;4.18
division1.out;0.70;0.47;0.66;0.60;0.58
division2.out;1.16;1.11;1.17;1.18;1.10
division3.out;1.83;1.47;1.75;1.75;1.75
division4.out;2.15;1.94;2.20;2.60;2.11
division5.out;2.75;2.57;2.81;2.64;2.81
division6.out;3.26;3.57;3.51;3.31;3.49
division7.out;3.80;4.02;4.18;4.28;3.83
division8.out;4.54;4.39;4.59;4.67;4.06
division9.out;5.43;5.03;5.19;4.94;4.36
multiplication1.out;0.40;0.37;0.44;0.38;0.31
multiplication2.out;0.83;0.88;0.81;0.65;0.72
multiplication3.out;1.11;1.11;1.12;1.07;1.21
multiplication4.out;1.40;1.39;1.41;1.32;1.35
multiplication5.out;1.65;1.75;1.59;1.92;1.42
multiplication6.out;2.00;2.03;1.93;2.15;1.82
multiplication7.out;2.46;2.58;2.35;2.83;2.53
multiplication8.out;3.04;2.39;2.48;2.91;2.77
multiplication9.out;3.41;3.12;3.43;3.11;2.94
